player_id,nickname,real_name,age,country,current_team,teams,total_kills,total_deaths,headshot_percentage,damage_per_round,grenade_dmg_per_round,maps_played,rounds_played,kills_per_death,kills_per_round,assists_per_round,deaths_per_round,saved_by_teammate_per_round,saved_teammates_per_round,rounds_with_kills,kill_to_death_diff,total_opening_kills,total_opening_deaths,opening_kill_ratio,opening_kill_rating,team_win_percent_after_first_kill,first_kill_in_won_rounds,0_kill_rounds,1_kill_rounds,2_kill_rounds,3_kill_rounds,4_kill_rounds,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills,rating,has_team,is_brazilian,age_group,rifle_share,sniper_share,smg_share,pistol_share,grenade_share,other_share
8601,zhokiNg,WeiJie Zhong,28,China,YK,"ViCi, VG.CyberZen",23611,22147,51.0,83.8,3.8,1228,31394,1.07,0.75,0.17,0.71,0.12,0.1,15584,1464,4498,4323,1.04,1.15,74.8,19.5,15810,9602,4279,1389,287,27,18306,74,1123,3852,273,32,1.06,True,False,27-29,0.7753165897251281,0.003134132395917157,0.04756257676506713,0.16314429714963363,0.011562407352505188,0.0013553004955317437
11343,SHiPZ,Georgi Grigorov,21,Bulgaria,SKADE,"SKADE, Windigo",33417,31190,50.0,79.5,3.7,1695,45194,1.07,0.74,0.13,0.69,0.1,0.1,22125,2227,5117,4703,1.09,1.06,74.1,16.1,23069,13777,5965,1873,459,51,22023,3034,1960,5613,332,531,1.11,True,False,21-23,0.6590358200915701,0.09079211179938355,0.05865278151838885,0.16796839931771254,0.009935062991890356,0.015890115809318612
7429,Happy,Vincent Schopenhauer,30,France,,"Envy, LDLC",28022,25277,41.2,77.5,2.7,1464,37933,1.11,0.74,0.12,0.67,0.06,0.07,19093,2745,3392,2451,1.38,1.01,78.9,13.4,18840,12242,5129,1444,254,24,17098,2853,1662,5911,408,113,1.06,False,False,30+,0.6101634430090643,0.10181286132324602,0.059310541717222186,0.2109414031832132,0.014559988580401114,0.004032545856826779
10330,acoR,Frederik Gyldstrand,25,Denmark,MOUZ,"Tricked, North Academy, MAD Lions, MOUZ",19475,17493,38.1,73.2,3.7,1057,27637,1.11,0.7,0.1,0.63,0.09,0.1,13069,1982,3109,2527,1.23,1.08,75.3,16.3,14568,8203,3574,1063,210,19,6682,8611,683,3218,266,62,1.06,True,False,24-26,0.34310654685494224,0.4421566110397946,0.035070603337612326,0.1652374839537869,0.013658536585365854,0.003183568677792041
9676,NikkeZ,Nikhil Victor,27,Australia,Aftershock,"Ground Zero, Athletico",7903,7368,46.5,82.5,4.5,413,10628,1.07,0.74,0.15,0.69,0.09,0.1,5243,535,1090,984,1.11,1.03,72.3,14.8,5385,3242,1459,438,91,13,5822,234,410,1324,117,12,1.06,True,False,27-29,0.7366822725547261,0.029609009236998607,0.05187903327850184,0.16753131722130837,0.014804504618499303,0.0015184107301024928
9083,COLDYY1,Pavel Veklenko,30,Ukraine,,Spirit,17902,16184,55.1,77.5,3.9,947,24917,1.11,0.72,0.13,0.65,0.09,0.11,12081,1718,2286,2017,1.13,0.99,72.8,13.0,12836,7646,3265,978,169,23,13052,572,743,3296,234,48,1.06,False,False,30+,0.729080549659256,0.03195173723606301,0.04150374259859234,0.1841135068707407,0.013071165232934867,0.0026812646631661267
17585,b4rtiN,Bruno Câmara,20,Brazil,TeamOne,"TeamOne, GODSENT",10145,9196,55.1,74.7,3.6,546,14300,1.1,0.71,0.12,0.64,0.1,0.11,6800,949,1343,1248,1.08,0.99,71.8,12.9,7500,4283,1826,568,109,14,6953,646,539,1841,139,83,1.1,True,True,<=20,0.6853622474125185,0.06367668802365697,0.053129620502710695,0.1814687037949729,0.01370133070478068,0.008181370133070479
12708,rigoN,Rigon Gashi,22,Switzerland,Bad News Eagles,"Bad News Eagles, BLINK, c0ntact",7748,7499,55.0,82.0,3.3,382,10192,1.03,0.76,0.13,0.74,0.1,0.1,5017,249,1231,1237,1.0,1.07,73.4,17.1,5175,3057,1328,510,105,17,5414,548,180,1525,84,16,1.1,True,False,21-23,0.6987609705730511,0.07072792978833248,0.023231801755291687,0.19682498709344348,0.010841507485802787,0.002065049044914817
7440,Skadoodle,Tyler Latham,29,United States,,Cloud9,18365,15907,24.8,67.5,2.7,1047,27129,1.15,0.68,0.11,0.59,0.09,0.09,12658,2458,2832,1829,1.55,1.08,76.9,14.8,14471,8308,3226,931,172,21,3839,10111,563,3592,238,44,1.06,False,False,27-29,0.20903893275251836,0.550558126871767,0.030656139395589435,0.195589436427988,0.012959433705417914,0.002395861693438606
16872,flying,Peiqi Song,21,China,Invictus,Invictus,8014,7478,50.6,79.2,3.7,408,10886,1.07,0.74,0.12,0.69,0.09,0.1,5285,536,946,931,1.02,0.96,72.7,12.7,5601,3233,1478,478,89,7,5742,173,540,1476,63,60,1.09,True,False,21-23,0.7164961317694035,0.02158722236086848,0.06738208135762416,0.1841776890441727,0.007861242825056151,0.007486897928624906
16314,pancc,Fillipe Martins,24,Brazil,,"W7M, Sharks",11087,10300,53.6,79.9,5.2,581,15327,1.08,0.72,0.14,0.67,0.09,0.1,7366,787,1735,1631,1.06,1.06,74.7,16.3,7961,4630,1933,644,136,23,8327,113,724,1736,188,31,1.11,False,True,24-26,0.7510597997654911,0.01019211689365924,0.06530170469919726,0.15657977811851717,0.016956796247857852,0.0027960674664020925
13138,Maka,Bryan Canda,25,France,Falcons,"Heretics, LDLC, 3DMAX",22548,20403,35.8,74.7,4.6,1199,31846,1.11,0.71,0.11,0.64,0.09,0.08,15203,2145,4195,3247,1.29,1.16,71.9,18.7,16643,9669,4031,1228,242,33,7140,10178,934,3969,317,101,1.1,True,False,24-26,0.31665779670037253,0.4513925847081781,0.041422742593578143,0.1760244811069718,0.014058896576193011,0.004479332978534681
9056,koosta,Kenneth Suen,26,United States,,"CLG, Ghost, Gen.G, Enemy",18522,17181,37.3,76.1,3.6,977,25766,1.08,0.72,0.12,0.67,0.09,0.1,12250,1341,2966,2851,1.04,1.06,72.8,16.7,13516,7590,3354,1029,250,27,7283,6180,1061,3739,223,78,1.06,False,False,24-26,0.39320807688154624,0.33365727243278265,0.05728323075261851,0.20186804880682432,0.012039736529532448,0.004211208292840946
16323,Valiance,Matthew Hartrick,21,Australia,VERTEX,"ORDER, Paradox",11884,10793,51.6,75.5,3.6,657,16993,1.1,0.7,0.13,0.64,0.1,0.11,7934,1091,1423,1266,1.12,0.96,75.3,11.6,9059,4981,2126,672,140,15,8605,606,486,2079,124,37,1.1,True,False,21-23,0.7240828004039044,0.05099293167283743,0.040895321440592394,0.17494109727364524,0.010434197239986537,0.003113429821608886
9108,tucks,Tyler Reilly,25,Australia,,Chiefs,12952,11725,43.9,76.0,4.1,718,18208,1.1,0.71,0.13,0.64,0.09,0.09,8719,1227,1889,1716,1.1,1.03,78.1,14.6,9489,5483,2375,737,112,12,8633,1246,867,2023,171,30,1.06,False,False,24-26,0.6665379864113651,0.09620135886349598,0.06693946880790612,0.15619209388511426,0.013202594193946881,0.0023162445954292774
9288,TOR,Tosapol Saekow,29,Thailand,,"Signature, Beyond",8271,7614,28.9,77.0,2.9,452,11472,1.09,0.72,0.12,0.66,0.08,0.09,5547,657,1363,1102,1.24,1.1,79.1,17.9,5925,3512,1469,454,101,11,3205,3251,528,1231,54,23,1.06,False,False,27-29,0.3874984886954419,0.3930600894692298,0.06383750453391368,0.148833272881151,0.006528835690968444,0.002780800386893967
885,olofmeister,Olof Kajbjer,30,Sweden,FaZe,"fnatic, FaZe",29037,26340,46.6,72.8,4.4,1559,40766,1.1,0.71,0.13,0.65,0.09,0.08,19497,2697,4355,4110,1.06,1.03,76.6,15.1,21269,12275,5330,1559,302,31,17746,4005,1357,5331,413,214,1.06,True,False,30+,0.611151289733788,0.1379274718462651,0.04673347797637497,0.1835933464200847,0.014223232427592382,0.007369907359575714
5479,suNny,Miikka Kemppi,27,Finland,Tokyo Revengers,"ENCE, MOUZ, PENTA",25493,23890,47.4,80.7,4.9,1313,34614,1.07,0.74,0.14,0.69,0.09,0.09,16897,1603,3831,3737,1.03,1.04,74.8,16.1,17717,10501,4587,1459,314,36,18561,471,1792,4237,382,96,1.06,True,False,27-29,0.7280822186482564,0.018475659985093946,0.07029380614286275,0.16620248695720394,0.014984505550543287,0.0037657396147962184
11617,malbsMd,Mario Samayoa,19,Guatemala,00NATION,"TeamOne, Infinity",10305,9931,62.9,80.3,4.9,537,13737,1.04,0.75,0.12,0.72,0.11,0.11,6684,374,1671,1613,1.04,1.08,72.0,17.7,7053,4037,1842,657,127,21,7535,60,469,2111,139,16,1.1,True,False,<=20,0.7311984473556526,0.005822416302765648,0.04551188743328481,0.20485201358563804,0.01348859776807375,0.0015526443474041726
9686,Gratisfaction,Sean Kaiwai,26,New Zealand,EXTREMUM,"Grayhound, Renegades, 100 Thieves, Immunity, EXTREMUM",16191,14502,31.9,73.2,3.3,897,23347,1.12,0.69,0.12,0.62,0.1,0.1,10996,1689,2957,2250,1.31,1.14,74.5,17.7,12351,7054,2890,870,163,19,4576,8064,592,2785,166,49,1.05,True,False,24-26,0.2826261503304305,0.4980544747081712,0.036563522944845904,0.1720091408807362,0.010252609474399358,0.0030263726761781237
17011,shalfey,Alexandr Marenov,20,Russia,forZe,"forZe, Unique, Dracarys",7532,6744,46.7,77.0,3.6,396,10659,1.12,0.71,0.12,0.63,0.08,0.09,5166,788,1199,983,1.22,1.08,72.6,16.1,5493,3359,1332,391,84,0,5469,569,327,1080,84,26,1.11,True,False,<=20,0.7261019649495486,0.07554434413170473,0.04341476367498672,0.14338821030270846,0.011152416356877323,0.0034519383961763143
15683,SLOWLY,Kelun Sun,20,China,TYLOO,"TYLOO, EHOME",10379,9750,59.3,79.0,2.9,540,14298,1.06,0.73,0.13,0.68,0.1,0.1,6823,629,1638,1699,0.96,1.04,70.7,15.4,7475,4178,1869,655,107,14,7792,101,568,1831,67,44,1.11,True,False,<=20,0.7507467000674439,0.009731187975720205,0.05472588881395125,0.1764139127083534,0.006455342518547067,0.004239329415165237
9618,nexa,Nemanja Isaković,25,Serbia,OG,"G2, Valiance, Imperial",23191,21037,51.0,76.5,4.4,1253,33161,1.1,0.7,0.13,0.63,0.1,0.11,15639,2154,2523,2509,1.01,0.92,73.2,10.5,17522,9932,4176,1242,264,25,16842,364,1715,3931,326,78,1.05,True,False,24-26,0.7262300030184123,0.01569574403863568,0.07395110172049502,0.16950541158207927,0.0140571773532836,0.003363373722564788
